variable,n,%_outliers_IQR,media_con_outliers,media_sin_outliers,trimmed_mean_10pct,mediana,cambio_relativo_%
MaxTemp,144199,0.3391146956636315,23.22134827564685,23.24702038828196,23.005512261509526,22.6,-0.11055392792172034
Humidity3pm,140953,0.0,51.5391158755046,51.5391158755046,51.40777560015253,52.0,0.0
WindGustSpeed,135197,2.2870329962942963,40.03523007167319,39.049907270731616,39.03838792888248,39.0,2.4611393494619547
Rainfall,142199,17.98746826630286,2.3609181499166656,0.1554334125071814,0.5339422121816791,0.0,93.41639978020129
