variable,r_observado,IC95_inf,IC95_sup,incluye_cero,estabilidad
Humidity3pm,0.4461603787913109,0.4417854576190842,0.4504705963293747,False,Estable
RainToday_bin,0.313096745508967,0.30740464410331736,0.3188885072076607,False,Estable
Humidity9am,0.2571611603438016,0.2525651453797194,0.2615941692355465,False,Estable
Pressure9am,-0.24637114625948037,-0.25162673489172716,-0.24114765697906065,False,Estable
Rainfall,0.239031801450613,0.23194563924103298,0.24619630946123897,False,Estable
MinTemp,0.08393581350156311,0.07888557602651669,0.08916131501274929,False,Estable
