variable,n,media,mediana,p95,p99,asimetría,curtosis
Rainfall,142199,2.360918149916666,0.0,13.0,37.4,9.83622525039533,178.1520787716008
WindGustSpeed,135197,40.03523007167319,39.0,65.0,81.0,0.8748788780303395,1.4186423199602203
