estrategia,variable,n_valido,media,mediana,desv_est,corr_objetivo
Eliminación (observados),Sunshine,74377,7.624853113193596,8.5,3.781524994214455,-0.45076806310611783
Eliminación (observados),Evaporation,81350,5.469824216349108,4.8,4.188536508895158,-0.11928469674513835
Eliminación (observados),Humidity3pm,138583,51.482606091656265,52.0,20.79777184369886,0.44616037879131026
Eliminación (observados),Pressure9am,128179,1017.6537584159651,1017.6,7.105475711520845,-0.24637114625948026
Eliminación (observados),Rainfall_log1p,140787,0.4852702711175159,0.0,0.904425670531065,0.343699968266239
Imputación simple,Sunshine,142193,7.994543331950239,8.4,2.7621951995328358,-0.3244965521876612
Imputación simple,Evaporation,142193,5.0120568523063715,4.4,3.212028867057794,-0.09045081719444255
Imputación simple,Humidity3pm,142193,51.495741703178076,52.0,20.532226778894508,0.43974064419242415
Imputación simple,Pressure9am,142193,1017.64846019143,1017.6,6.746267354859263,-0.23402157806515436
Imputación simple,Rainfall_log1p,142193,0.48047193363823626,0.0,0.9012230584196018,0.33683736566661465
Imputación por regresión,Sunshine,142193,7.207030302090287,7.118722585420771,3.128501944745851,-0.39685067347589886
Imputación por regresión,Evaporation,142193,5.067921100249839,4.6,3.6455021831915135,-0.13271904131805126
Imputación por regresión,Humidity3pm,142193,51.556383922923764,52.0,20.60384223041893,0.44314676222630744
Imputación por regresión,Pressure9am,142193,1017.6536793702564,1017.6834515362565,6.759069141669271,-0.23893364097175704
Imputación por regresión,Rainfall_log1p,142193,0.48379770128379423,0.0,0.9004965735560965,0.34064171330382736
