modelo,variable,coef,IC95_coef_inf,IC95_coef_sup,OR,IC95_OR_inf,IC95_OR_sup,p_value
Eliminación,const,-1.9627676392460873,-2.0009331408220445,-1.9246021376701299,0.14046911460538256,0.13520905526255883,0.14593380687191326,0.0
Eliminación,Humidity3pm,1.0999189704142365,1.0506831337037308,1.1491548071247422,3.0039226074800487,2.8596039427996702,3.1555247552552004,0.0
Eliminación,Humidity9am,0.061176374806144955,0.010456642322010906,0.111896107290279,1.0630863993104769,1.0105115040627908,1.1183966613493295,0.018076846329989148
Eliminación,Pressure9am,-0.3520291647889908,-0.3881112265373561,-0.31594710304062557,0.7032596112590789,0.6783368900045433,0.7290980162157452,1.6534264806118556e-81
Eliminación,Rainfall_log1p,0.18824318230704276,0.1590853511903661,0.21740101342371942,1.207127031595617,1.1724380113902384,1.2428423987047283,1.0694172189388744e-36
Eliminación,WindGustSpeed,0.779817113751634,0.7348117871552977,0.8248224403479703,2.1810733406996916,2.085089514942461,2.2814756313434277,8.472226069711672e-253
Eliminación,Sunshine,-0.579906384887694,-0.6314599253926005,-0.5283528443827874,0.5599507839673602,0.5318148240149393,0.5895752925775034,1.0230085042338688e-107
Eliminación,Evaporation,-0.14669901538857297,-0.19729408389133302,-0.09610394688581292,0.863553854726233,0.82094916988268,0.9083695889711491,1.3245923245621881e-08
Eliminación,Cloud3pm,0.32502962479286257,0.2758651042530125,0.3741941453327126,1.3840716482092923,1.3176701039450787,1.4538193753059703,2.1324415286898572e-38
Eliminación,Cloud9am,-0.12316624476261998,-0.17078087097007622,-0.07555161855516374,0.8841166705768072,0.8430062803819975,0.9272318669294117,3.9802431879331434e-07
Eliminación,Temp3pm,0.4082689354197339,0.3605954921250979,0.45594237871436993,1.5042116425674492,1.4341832051269312,1.577659435382392,3.149336074972345e-63
Eliminación,WindSpeed3pm,-0.29052143287760446,-0.3310686350432796,-0.2499742307119293,0.7478735000591687,0.7181558766893202,0.7788208524717195,8.48228753893373e-45
Eliminación,Month_sin,-0.16088366311141125,-0.1942984960299678,-0.1274688301928547,0.8513911135390165,0.8234120823443605,0.8803208548378559,3.8465712460077146e-21
Eliminación,Month_cos,-0.0719329112289185,-0.11157768266781028,-0.03228813979002672,0.9305933260796206,0.8944219076245279,0.9682275569970425,0.00037621511297495177
Imputación simple,const,-1.8086170849493632,-1.8321853884913462,-1.7850487814073803,0.16388061313425745,0.16006338459282005,0.16778887582303986,0.0
Imputación simple,Humidity3pm,1.158980917877557,1.128497441191446,1.189464394563668,3.186684127998283,3.0910085869381008,3.2853211002223386,0.0
Imputación simple,Humidity9am,0.1188189485471892,0.08847931534303535,0.14915858175134306,1.1261660058381242,1.0925116541479636,1.1608570653596244,1.64393531073936e-14
Imputación simple,Pressure9am,-0.36358955889524897,-0.3860371771512282,-0.3411419406392697,0.695176465191917,0.6797452542184508,0.7109579872129851,3.603847995923981e-221
Imputación simple,Rainfall_log1p,0.2367914704009075,0.218089497526228,0.255493443275587,1.2671768463422863,1.243698370565858,1.2910985476127976,6.067405057936998e-136
Imputación simple,WindGustSpeed,0.6406185317275244,0.613771179052757,0.6674658844022917,1.897654275753501,1.8473850987033305,1.9492913268668948,0.0
Imputación simple,Sunshine,-0.2996934136934945,-0.3234052645962191,-0.2759815627907699,0.7410453802240119,0.7236805128406344,0.758826921282985,1.7996967639502393e-135
Imputación simple,Evaporation,0.004815695054608794,-0.021965109078843446,0.03159649918806103,1.0048273091498678,0.9782743673495736,1.0321009676956698,0.7245093649799339
Imputación simple,Cloud3pm,0.32210641105135773,0.29366527413052357,0.3505475479721919,1.3800316187597186,1.3413348490424595,1.4198447689151803,3.6456197351662066e-109
Imputación simple,Cloud9am,-0.014527493483897511,-0.042314259862850576,0.01325927289505555,0.9855775214001696,0.9585684936304264,1.013347566860265,0.3055002701429592
Imputación simple,Temp3pm,0.3340406521653886,0.30390314135497204,0.36417816297580513,1.3965999172313284,1.3551377929223394,1.4393306267433814,1.2167492964568951e-104
Imputación simple,WindSpeed3pm,-0.22130735098047857,-0.24545955635498565,-0.1971551456059715,0.8014703097454957,0.7823449240350691,0.821063239076818,4.0658032856328095e-72
Imputación simple,Month_sin,-0.1778710159465223,-0.19962956425031791,-0.15611246764272668,0.8370503826774343,0.8190340963994226,0.855462973056433,8.936511138647081e-58
Imputación simple,Month_cos,-0.19974878163673507,-0.22410060682990338,-0.17539695644356676,0.81893645911521,0.7992347218526944,0.839123859025441,3.708124343500716e-58
Imputación por regresión,const,-1.818321374516755,-1.8420837527342717,-1.7945589962992383,0.16229795989286913,0.1584868344163098,0.16620073132507876,0.0
Imputación por regresión,Humidity3pm,1.0746789653143127,1.042526422892061,1.1068315077365645,2.9290524221549807,2.8363738497729196,3.0247592687468976,0.0
Imputación por regresión,Humidity9am,0.0952479075122432,0.062235669444630784,0.1282601455798556,1.099931502611477,1.0642131176915257,1.1368487103988416,1.558940485425416e-08
Imputación por regresión,Pressure9am,-0.3476550986620614,-0.37031850473706096,-0.32499169258706184,0.7063424526640147,0.6905143635131411,0.72253335600009,1.360709636229632e-198
