modelo,variable,coef,OR,IC95_coef_inf,IC95_coef_sup,IC95_OR_inf,IC95_OR_sup,p_value
Eliminación,const,-0.6668681892580184,0.5133136643089024,-0.6953523076618296,-0.6383840708542071,0.49889865120238247,0.5281451800504973,0.0
Eliminación,Humidity3pm,1.0140827864119433,2.7568336321187097,0.9760685176661547,1.0520970551577318,2.654001543981242,2.863650057934764,0.0
Eliminación,WindGustSpeed,0.7480412514795912,2.1128574044546418,0.7085567269230586,0.7875257760361238,2.0310577712453193,2.1979514688160027,8.603115189295755e-302
Eliminación,Sunshine,-0.691411921796894,0.5008683825978814,-0.7237220350605926,-0.6591018085331954,0.48494391444039603,0.517315774496747,0.0
Eliminación,WindSpeed3pm,-0.3079122372626391,0.7349798190194569,-0.34479918965919437,-0.27102528486608385,0.7083625857187208,0.7625972139928581,3.64822511786268e-60
Eliminación,Pressure9am,-0.45024595847238763,0.6374713408609072,-0.47927882067215183,-0.42121309627262343,0.6192298065499213,0.6562502420274597,6.315574523632643e-203
Eliminación,Rainfall_log1p,0.17882248415760058,1.195808450381268,0.15253625797987488,0.20510871033532627,1.1647846940689828,1.227658516878281,1.4793097309198933e-40
Imputación simple,const,-0.5424367182344203,0.5813299877387591,-0.559433602346745,-0.5254398341220956,0.5715326869631314,0.5912952353434617,0.0
Imputación simple,Humidity3pm,1.0933120581549407,2.9841413727760626,1.0726819434558226,1.1139421728540588,2.9232088772287996,3.0463439688086313,0.0
Imputación simple,WindGustSpeed,0.6485315050746835,1.91272993142681,0.6260699366985615,0.6709930734508055,1.8702459320763605,1.9561789857841192,0.0
Imputación simple,Sunshine,-0.4496023767775187,0.6378817377947005,-0.4671662889179404,-0.432038464637097,0.6267758558672291,0.6491844055623289,0.0
Imputación simple,WindSpeed3pm,-0.25706934213417365,0.773314588622267,-0.27759338903568226,-0.23654529523266504,0.7576048093165715,0.7893501276945303,4.422988982663522e-133
Imputación simple,Pressure9am,-0.3982452713477931,0.6714973084125057,-0.4159553754537282,-0.380535167241858,0.6597097090739809,0.6834955269010208,0.0
Imputación simple,Rainfall_log1p,0.23685868279465397,1.2672620191937325,0.22079926005867698,0.25291810553063093,1.2470730680615203,1.2877778106356728,9.666783493781414e-184
Imputación por regresión,const,-0.557055962407716,0.572893202673425,-0.5742017274925021,-0.53991019732293,0.563154239970019,0.5828005870769738,0.0
Imputación por regresión,Humidity3pm,0.8586333841053566,2.359933366500798,0.8342948376376453,0.8829719305730679,2.303189353072216,2.41807539049924,0.0
Imputación por regresión,WindGustSpeed,0.6368218671784108,1.8904631787678716,0.6138369418798407,0.6598067924769809,1.8475065919649598,1.9344185540772936,0.0
Imputación por regresión,Sunshine,-0.615749710933848,0.5402357228189187,-0.6382100443242371,-0.5932893775434589,0.5282370993214657,0.5525068886387844,0.0
Imputación por regresión,WindSpeed3pm,-0.2245483499047274,0.7988769501417059,-0.24551258264760234,-0.20358411716185248,0.7823034402840744,0.8158015785229902,7.564911895703093e-98
Imputación por regresión,Pressure9am,-0.39117155770058026,0.6762641277680572,-0.4090968603253242,-0.3732462550758363,0.6642498897457283,0.68849566641397,0.0
Imputación por regresión,Rainfall_log1p,0.20119945307172635,1.2228686524101935,0.18484185544653936,0.21755705069691333,1.2030281727300387,1.2430363435745528,2.0767605641082506e-128
