estrategia,n_train,n_test,accuracy,precision,recall,specificity,f1,auc,pr_auc,tn,fp,fn,tp
Eliminación,42964,15195,0.8051990786442909,0.5269341609399246,0.7421167655323134,0.8220480320213476,0.6162820845216489,0.8709900418574398,0.6812357390478272,9858,2134,826,2377
Imputación simple,93076,49117,0.7942463912698251,0.5184074175074993,0.7142588765733608,0.8163811702321229,0.6007742751046852,0.8495118505375201,0.6526063056908142,31407,7064,3042,7604
Imputación por regresión,93076,49117,0.7846774029358471,0.5022216579916212,0.743189930490325,0.7961581450963063,0.5993939393939394,0.851827249388253,0.6554753994843082,30629,7842,2734,7912
