paso,variable_ingresa,AIC_muestra,BIC_muestra
1,Sunshine,10799.17070070208,-81289.81233831582
2,WindGustSpeed,10122.579058320161,-81959.19364032577
3,Humidity3pm,9530.966079150608,-82543.59627912335
4,Pressure3pm,9273.035275916036,-82794.31674198594
5,WindSpeed3pm,9204.9007475773,-82855.2409299527
6,Pressure9am,9149.098646623039,-82903.83269053498
7,Rainfall_log1p,9073.00935150604,-82972.71164528
