modelo,partición,accuracy,precision,recall,f1,auc,pr_auc,tn,fp,fn,tp
S1S2,train,0.7723012005827096,0.4969181097739947,0.7539859267836466,0.5990375769584602,0.8461351668797008,0.6626925951612047,59941,17140,5524,16930
S1S2,test,0.777321956022317,0.49724996381531333,0.7291732993738724,0.5912826470461684,0.8373667521352907,0.6400031612811152,26288,6947,2552,6871
Stepwise,train,0.7833726829758376,0.5133381183085113,0.7644517680591432,0.6142202819723753,0.8597097761839967,0.6811785894978699,60808,16273,5289,17165
Stepwise,test,0.7872380327253974,0.5129410009696427,0.7298100392656267,0.6024529128339904,0.8473513004720181,0.6522754693660361,26705,6530,2546,6877
BIC,train,0.7833726829758376,0.5133381183085113,0.7644517680591432,0.6142202819723753,0.8597097761839967,0.6811785894978699,60808,16273,5289,17165
BIC,test,0.7872380327253974,0.5129410009696427,0.7298100392656267,0.6024529128339904,0.8473513004720181,0.6522754693660361,26705,6530,2546,6877
