variable,coef_modelo,coef_wald_inf,coef_wald_sup,coef_boot_media,coef_boot_inf,coef_boot_sup,OR_modelo,OR_boot_inf,OR_boot_sup,estable
const,-1.818321374516755,-1.8420837527342717,-1.7945589962992383,-1.8185283221917352,-1.8423034957367994,-1.7967886366889854,0.16229795989286913,0.15845202254638804,0.1658305791119881,True
Humidity3pm,1.0746789653143127,1.042526422892061,1.1068315077365645,1.0754010774765212,1.0446576232443152,1.108158665998972,2.9290524221549807,2.8424252005394095,3.0287762977135473,True
Humidity9am,0.0952479075122432,0.062235669444630784,0.1282601455798556,0.09492456675739827,0.06304448309391934,0.12900030231302315,1.099931502611477,1.0650742160124482,1.137690468278623,True
Pressure9am,-0.3476550986620614,-0.37031850473706096,-0.32499169258706184,-0.34739339510080064,-0.36997840287063205,-0.32565227527444296,0.7063424526640147,0.6907493100207609,0.7220563280479693,True
Rainfall_log1p,0.24103482262343368,0.2221499121305336,0.25991973311633376,0.24128423511170075,0.22275443459948788,0.26085656873583946,1.2725653486006012,1.2495136991449352,1.2980414732973238,True
WindGustSpeed,0.6941396831411196,0.6648405730530056,0.7234387932292337,0.6942532852001301,0.6651391548124115,0.7253154327350214,2.001985990549695,1.9447611484924223,2.0653825957800205,True
Sunshine,-0.46080396962644543,-0.4979884398879008,-0.42361949936499005,-0.4607398245459001,-0.4968540090780094,-0.4275947611366763,0.6307763165961109,0.608441808665847,0.6520756076466087,True
Evaporation,-0.06090219412148014,-0.09580055170383706,-0.026003836539123228,-0.06203920770510019,-0.09642232692337817,-0.027083136096063505,0.9409152623196074,0.9080804950210218,0.9732803853799387,True
Cloud3pm,0.28354295842097815,0.25037847096344057,0.31670744587851574,0.2844348742828384,0.2513735813228645,0.3174022985818259,1.3278259203935519,1.2857905453625045,1.3735550429120813,True
Cloud9am,-0.077035290977122,-0.10897100286224148,-0.045099579092002524,-0.07741901162126354,-0.10742485700689586,-0.04635549067344104,0.9258571786254236,0.8981441943456492,0.9547026270271365,True
Temp3pm,0.46432228143933146,0.43111639555469017,0.49752816732397276,0.4654227945339374,0.43266954254824097,0.49554723760796693,1.5909356168478723,1.541366818889872,1.6413962384387428,True
WindSpeed3pm,-0.26638254220774277,-0.2925406467091564,-0.2402244377063291,-0.26590670118766935,-0.2927314372020241,-0.23913134774869196,0.766145988257726,0.7462225220980719,0.7873114780635085,True
Month_sin,-0.19032261523976463,-0.21226359101689807,-0.16838163946263118,-0.18984713232454462,-0.2107098995677991,-0.16805705383103142,0.8266923873546606,0.8100090310605006,0.8453057196061836,True
Month_cos,-0.19627589971791418,-0.2212139457936191,-0.17133785364220924,-0.1958982819143156,-0.2199970576669687,-0.1735572292824122,0.8217854730176943,0.8025211714242845,0.8406691115771684,True
