variable,VIF
Humidity3pm,2.787078602890323
Humidity9am,2.6123743636768912
Pressure9am,1.5299291554152952
Rainfall_log1p,1.3541496784627556
WindGustSpeed,2.567742999300754
Sunshine,3.948054226177716
Evaporation,2.4315377753699217
Cloud3pm,2.558207448006003
Cloud9am,2.404934392460285
Temp3pm,2.9329300776041367
WindSpeed3pm,2.0777142085372686
Month_sin,1.2635767792980583
Month_cos,1.7267840852961585
