iteracion,const,Humidity3pm,WindGustSpeed,Sunshine,WindSpeed3pm,Pressure9am,Rainfall_log1p
0,-0.5292208959161465,0.7690273703866816,0.7609616147276659,-0.6280950181987114,-0.2938251379486913,-0.3676159723450871,0.2421935697048883
1,-0.579882827385654,0.8404437739961694,0.5851451570042459,-0.6775045574225443,-0.24621217669785908,-0.428226702164106,0.1689994468436729
2,-0.5281555242810442,0.8627143692792697,0.6876417206189868,-0.6005388487262588,-0.3247372920425449,-0.3883231447470553,0.2534030917169508
3,-0.5804190062612323,0.8529016381072044,0.636604594200378,-0.6386024259607674,-0.20505128584467092,-0.3928840974120002,0.2178622954499935
4,-0.5827548672776621,0.8897009057311703,0.600710488526238,-0.6581183826276448,-0.17531670547809214,-0.38088740862793774,0.20476996698048633
5,-0.5603294721017842,0.8293355162895992,0.6474433594352941,-0.6494475944980016,-0.20757336657046552,-0.3811611208024687,0.2207911768236804
6,-0.5505141153770615,0.8770330581874882,0.6958538971957904,-0.6419120004800467,-0.23963686144634147,-0.3674211970274027,0.21150795873253214
7,-0.5232408442168601,0.9286024483676643,0.6425034752180199,-0.5577972415137412,-0.19300196040492734,-0.3704001921185183,0.1545390232466187
8,-0.5515807255004994,0.8346881887968963,0.6970154852870226,-0.6324107957137304,-0.2549217184003548,-0.3502450808501715,0.2509645875114768
9,-0.5415536070405694,0.8305890427535769,0.6644884868551976,-0.630713079701805,-0.22672447337410678,-0.3516195945250967,0.19630489540891263
10,-0.5590864640255861,0.8666877441310374,0.6165623434980861,-0.5989151992841332,-0.2298469295694734,-0.3901836436163709,0.19321998722618647
11,-0.5472767590506431,0.7943170735160279,0.6360059338236087,-0.6055409038381472,-0.22808227419829724,-0.37504135615932305,0.22272487221198073
12,-0.5348582025962805,0.8202109590337788,0.6278295149212898,-0.595250213850619,-0.2234064890108868,-0.40976819125525615,0.22934323715338434
13,-0.5732063376572524,0.8326500317353053,0.6148330201201468,-0.6220429529967916,-0.2519130965952203,-0.4171330873003463,0.20234275248663028
14,-0.5101079219776716,0.8486544272798682,0.6294791975617885,-0.5748686581118919,-0.2031450262179105,-0.40958248669586167,0.22302350899123272
15,-0.5886654031645944,0.922540744239891,0.6201167284064197,-0.622933769547435,-0.1543045153875474,-0.47533137150869037,0.19539479750613598
16,-0.5984003050638121,0.8754545604459303,0.6667712077682787,-0.6704302346336788,-0.21188510781092496,-0.3853120100897338,0.21790129523322002
17,-0.6042002022413164,0.9368316356233847,0.655354221595807,-0.6069211812343424,-0.19966764363763462,-0.3870432956977442,0.21608689265597175
18,-0.5760349357537803,0.8932155168989431,0.6816684428667282,-0.5981057995647755,-0.25152938631393523,-0.3956786936667196,0.23465304796981049
19,-0.5660785020823839,0.8313942562494031,0.6236377367930712,-0.6701927280956664,-0.22978381031085976,-0.34720948377540023,0.1864236446741688
20,-0.542287878529357,0.8127126526187645,0.6838913393410827,-0.6274604705090342,-0.28192533825419436,-0.3391325943007107,0.2101873552952864
21,-0.5312387039904349,0.9184278997787404,0.6964238322645641,-0.5354850360829013,-0.2253999958256248,-0.3557686509273754,0.15675851860614967
22,-0.5407830703150233,0.8781095212901099,0.6106427784558597,-0.6284647604672243,-0.23129969999024094,-0.3947936815592246,0.14795487478339422
23,-0.5574307116627177,0.8639562097146025,0.6882740270197691,-0.5696800385860757,-0.2345395082998292,-0.39793627995733455,0.2165983415108851
24,-0.5594133292547605,0.8617195392806011,0.6433506141567824,-0.566074786023281,-0.1514920744155302,-0.3644854004211373,0.23205078799495937
25,-0.5490535526219679,0.8989474574976608,0.5818294919453372,-0.584408218082266,-0.21760497670698595,-0.41914816478864275,0.2156092123169739
26,-0.6107330120353486,0.8499139398317372,0.6108713061440425,-0.682399162335419,-0.1786311588953393,-0.39544672396548886,0.1967566808628033
27,-0.5438484868054811,0.8151755410427408,0.6099787651016716,-0.6201914264649531,-0.21417682085838424,-0.4270227872774573,0.17984710462258024
28,-0.5850487549759067,0.887744010099001,0.6027696325689577,-0.631858849256639,-0.2173595342100895,-0.39109059531992335,0.20537879587683852
29,-0.5779370242678996,0.9291121540538645,0.5981102407905714,-0.6108366597608563,-0.21058886010827935,-0.40689130405909557,0.15479148187340935
30,-0.5652222427770999,0.8216402833751375,0.5932031611438119,-0.6262142509392447,-0.13599519672761004,-0.40361743564447694,0.23016504120984954
31,-0.5663046629337116,0.849215096740445,0.6231888428978641,-0.5879881144679723,-0.24215727370954276,-0.3868994015035473,0.23969818126463294
32,-0.5557101926082401,0.8536504406104792,0.624224728113267,-0.6335387189514965,-0.24031825263839685,-0.3882168824939063,0.2135696425710741
33,-0.602999858506979,0.8541935246078226,0.6844702907686142,-0.6256084012110606,-0.25831750088676003,-0.394517819501187,0.21570085642608225
34,-0.6384012658333866,0.8802389902348864,0.6579971349800637,-0.603075491481959,-0.1972732273712717,-0.4081826923349986,0.22401936562924554
35,-0.5081734485513709,0.8840382681506084,0.6176069742118208,-0.6091991672321395,-0.1956725226158848,-0.3535111885621189,0.1514031840512283
36,-0.5738639074253797,0.7986142905142879,0.6158244909478542,-0.713507414143431,-0.20783426076501957,-0.3855524497631623,0.1939490921616471
37,-0.6038765341647415,0.8902840849636938,0.6500471648171893,-0.6500683503703466,-0.24939765332474262,-0.3454553966209128,0.18797952617706376
38,-0.5752923242107562,0.9253842392244269,0.596459390185661,-0.5662617070412803,-0.19865799716903093,-0.4183937842537343,0.18109610721726527
39,-0.5795285900961156,0.8905277812560709,0.5933304257330425,-0.6259710204502922,-0.2245220681971689,-0.44701862197660874,0.1581752784023793
