estrategia,n_total,n_train,n_test,accuracy,precision,recall,f1,auc,pr_auc,tn,fp,fn,tp
Eliminación,58141,40698,17443,0.7971105887748667,0.51848376806155,0.7395610278372591,0.6095973524544953,0.864829513952842,0.6740153721468403,11141,2566,973,2763
Imputación simple,142193,99535,42658,0.7942472689765109,0.5256430612892982,0.70264247055078,0.6013897088877788,0.844259085473749,0.6479324848367602,27260,5975,2802,6621
Imputación por regresión,142193,99535,42658,0.7872380327253974,0.5129410009696427,0.7298100392656267,0.6024529128339904,0.8473513004720181,0.6522754693660361,26705,6530,2546,6877
