estrategia,n,n_positivos,prop_positivos,media_Humidity3pm,corr_Humidity3pm,media_RainToday_bin,corr_RainToday_bin,media_Humidity9am,corr_Humidity9am,media_Pressure9am,corr_Pressure9am,media_Rainfall_log1p,corr_Rainfall_log1p
Eliminación de observaciones,58141,12745,0.21920847594640616,49.70107153299737,0.45500419161123884,0.2198448599095303,0.30949743163668814,66.22436834591768,0.2658455905659766,1017.3342770162193,-0.2570912644662487,0.46985867965668854,0.34045557875527344
Imputación simple,142193,31877,0.22418121848473554,51.495741703178076,0.4397406441924262,0.22121342119513618,0.3065548303994368,68.85823493420914,0.25529207509581425,1017.64846019143,-0.23402157806516763,0.48047193363823615,0.33683736566661554
Imputación por regresión,142193,31877,0.22418121848473554,51.534091037732225,0.4431888977678789,0.2233060691036631,0.3111388536712406,68.87882736516622,0.25685820131212933,1017.6496481858211,-0.23853958799414807,0.48440197840666643,0.3410698069027638
