modelo,variable,coef,OR,IC95_coef_inf,IC95_coef_sup,IC95_OR_inf,IC95_OR_sup,p_value
S1S2,const,-0.5219477225201682,0.5933637138718388,-0.5387707325838216,-0.5051247124565148,0.583465046287907,0.603430315457234,0.0
S1S2,Humidity3pm,1.1730610690969,3.2318704913066063,1.1507438228657736,1.1953783153280266,3.1605429196777513,3.3048077934797915,0.0
S1S2,RainToday_bin,0.017625850155748555,1.017782102127221,-0.012578883050494004,0.047830583361991114,0.9874999004169166,1.0489929234151443,0.2527360125059951
S1S2,Humidity9am,0.1586544337669777,1.1719328962625586,0.1354969880800625,0.18181187945389288,1.1451057468624122,1.199388543028044,4.14745361282827e-41
S1S2,Pressure9am,-0.38378288396253807,0.6812793277912235,-0.40129865230779904,-0.3662671156172771,0.6694500983629313,0.693317580519698,0.0
S1S2,Rainfall_log1p,0.2154344301215244,1.2404006473368556,0.18366557287010682,0.247203287372942,1.201613903604634,1.2804393834809793,2.606440027413363e-40
S1S2,WindGustSpeed,0.5266073244349292,1.6931781490060642,0.508599360305021,0.5446152885648374,1.6629603547092768,1.7239450334177044,0.0
Stepwise,const,-0.557055962407716,0.572893202673425,-0.5742017274925021,-0.53991019732293,0.563154239970019,0.5828005870769738,0.0
Stepwise,Humidity3pm,0.8586333841053566,2.359933366500798,0.8342948376376453,0.8829719305730679,2.303189353072216,2.41807539049924,0.0
Stepwise,WindGustSpeed,0.6368218671784108,1.8904631787678716,0.6138369418798407,0.6598067924769809,1.8475065919649598,1.9344185540772936,0.0
Stepwise,Sunshine,-0.615749710933848,0.5402357228189187,-0.6382100443242371,-0.5932893775434589,0.5282370993214657,0.5525068886387844,0.0
Stepwise,WindSpeed3pm,-0.2245483499047274,0.7988769501417059,-0.24551258264760234,-0.20358411716185248,0.7823034402840744,0.8158015785229902,7.564911895703093e-98
Stepwise,Pressure9am,-0.39117155770058026,0.6762641277680572,-0.4090968603253242,-0.3732462550758363,0.6642498897457283,0.68849566641397,0.0
Stepwise,Rainfall_log1p,0.20119945307172635,1.2228686524101935,0.18484185544653936,0.21755705069691333,1.2030281727300387,1.2430363435745528,2.0767605641082506e-128
BIC,const,-0.5570559624077187,0.5728932026734235,-0.5742017274925048,-0.5399101973229327,0.5631542399700175,0.5828005870769722,0.0
BIC,Sunshine,-0.6157497109338489,0.5402357228189182,-0.6382100443242381,-0.5932893775434597,0.5282370993214651,0.5525068886387839,0.0
BIC,WindGustSpeed,0.636821867178411,1.890463178767872,0.613836941879841,0.6598067924769812,1.8475065919649603,1.934418554077294,0.0
BIC,Humidity3pm,0.8586333841053593,2.359933366500804,0.8342948376376479,0.8829719305730707,2.303189353072222,2.4180753904992467,0.0
BIC,WindSpeed3pm,-0.2245483499047273,0.798876950141706,-0.24551258264760217,-0.20358411716185243,0.7823034402840746,0.8158015785229903,7.564911895697061e-98
BIC,Pressure9am,-0.39117155770058076,0.6762641277680569,-0.4090968603253247,-0.3732462550758368,0.664249889745728,0.6884956664139695,0.0
BIC,Rainfall_log1p,0.2011994530717274,1.2228686524101948,0.18484185544654033,0.21755705069691447,1.2030281727300398,1.2430363435745544,2.076760564109552e-128
