const,Humidity3pm,Humidity9am,Pressure9am,Rainfall_log1p,WindGustSpeed,Sunshine,Evaporation,Cloud3pm,Cloud9am,Temp3pm,WindSpeed3pm,Month_sin,Month_cos
-1.8115816551963584,1.076308136801807,0.10594831117445638,-0.34347468178856977,0.24549677374349546,0.7006410081031395,-0.42820877456902723,-0.0476292560187044,0.3049192722725741,-0.08405805900947366,0.4568563616696679,-0.27062426818687485,-0.1915680633814571,-0.20138582522784393
-1.8126826325975918,1.0641243024982436,0.08468770654188827,-0.3510375383557552,0.2303217158285812,0.6953504646925655,-0.4724547913765883,-0.06174788783030966,0.29131310834042,-0.09203322296003753,0.45805016605247423,-0.27290805297034254,-0.16892013294082542,-0.20692030607399933
-1.8041230966532,1.0512741103589411,0.10471520083753909,-0.3399129599200455,0.2372858333700319,0.6856668536708391,-0.4560026170017177,-0.041764957904170244,0.3173342421937203,-0.09584822835204164,0.4426242779585944,-0.2595009202170123,-0.15664757687901099,-0.19545093092683352
-1.82305956255711,1.058921802132146,0.09859777204653501,-0.3512079367341928,0.2344409450218357,0.6928099247840951,-0.4586035260166972,-0.05739611096585038,0.2934233460454598,-0.08273202634689278,0.4397052533540169,-0.2594899620719778,-0.19830287317799325,-0.19191081572404692
-1.8234264915830751,1.0700151401728704,0.11136510630518583,-0.3338329773641631,0.23024819304755673,0.7081369269744541,-0.39101410749068344,-0.060328356653959525,0.3166921400387306,-0.05294418554298317,0.43984814702272496,-0.28655108059095885,-0.19479784546953957,-0.1973885447209063
-1.8389607878192187,1.0603330684676753,0.11141319691313284,-0.3306518630766163,0.24657457841175354,0.7123306321218167,-0.47399029591091046,-0.035826240486614286,0.2946009006247143,-0.08178862571442985,0.4567430403433438,-0.28072295023549426,-0.16748593329168915,-0.1985077394700727
-1.8074334985316023,1.0677608274011412,0.10776227886905793,-0.36909349971382666,0.22583268051726976,0.6924146580920312,-0.450458196324449,-0.05365394352514463,0.3080433271799148,-0.08192795650570317,0.4431821839082544,-0.25806441233157035,-0.18552725208490506,-0.1989633664970159
-1.8314598170902843,1.1055616318807748,0.07872329225726886,-0.34190090978579296,0.24798027305983777,0.705351006192089,-0.4626590734225157,-0.04967015110424569,0.2820983033576719,-0.09165351445489353,0.4598528364999725,-0.2724705813309482,-0.1881660153912182,-0.21415748660238718
-1.8408886305419232,1.0753529390910703,0.09769974842509693,-0.33980383178589446,0.23800009014737492,0.7087538395903566,-0.44771129146985245,-0.05349577768925206,0.29756869719494006,-0.06051925257397186,0.45287637992873103,-0.24684834467685096,-0.1828473601287174,-0.1955558689608298
-1.8317367326493605,1.086937381753709,0.0943667639965939,-0.3691740036124667,0.22620038130489908,0.6809626933803042,-0.47327521242721915,-0.08234851337063659,0.2741963312699141,-0.10083206519904164,0.44628873836125005,-0.2573712477064499,-0.19160516503445185,-0.20256216684758566
-1.813802873342896,1.0689803084921747,0.06303639518682148,-0.3491337575286505,0.24592918995477742,0.6999670794548978,-0.4536331709471005,-0.07414885375677711,0.2852819369476624,-0.036571728113103885,0.4796661706671002,-0.2715554657661887,-0.18557334123678101,-0.19434340226679334
-1.833656015948023,1.092760792399056,0.08716193778807685,-0.3423308320506276,0.2327974833630827,0.7014298147519838,-0.4306934546262112,-0.0802967432609025,0.28989273430206236,-0.05238901831854836,0.45206756068905585,-0.27560244521159394,-0.18222391197372095,-0.18953309559680587
