paso,variable_ingresa,p_value,AIC_muestra
1,Humidity3pm,0.0,10816.237757591782
2,WindGustSpeed,1.8985694968496331e-165,9950.132001546275
3,Sunshine,1.4264592986062293e-87,9530.966079150608
4,Pressure3pm,7.41936150612437e-56,9273.035275916036
5,WindSpeed3pm,1.0842648172331621e-16,9204.900747577298
6,Pressure9am,4.3582885867046443e-14,9149.098646623039
7,Rainfall_log1p,3.5478506942332594e-18,9073.00935150604
