modelo,particion,n_variables,cv_temporal_auc_media,cv_temporal_auc_sd,accuracy,precision,recall,specificity,f1,auc,pr_auc,tn,fp,fn,tp
M1 Dominio S1/S2,train,5,0.8457221391901447,0.003252388621451751,0.7738944518458034,0.5029171894604768,0.7551693278696247,0.7794279351381446,0.603754401159835,0.846835424909638,0.6683691183728635,55998,15847,5198,16033
M1 Dominio S1/S2,test,5,0.8457221391901447,0.003252388621451751,0.7765539426267891,0.4895055821371611,0.7207401841067067,0.7919991682046217,0.5830325595532084,0.8337253840176772,0.6312927104656965,30469,8002,2973,7673
M2 Stepwise,train,13,0.8649762826740088,0.004421202640754176,0.7895483260991019,0.5263867921498089,0.7718901606141962,0.7947665112394738,0.6259262088457719,0.8670214836753295,0.6955824597963052,57100,14745,4843,16388
M2 Stepwise,test,13,0.8649762826740088,0.004421202640754176,0.7846774029358471,0.5022216579916212,0.743189930490325,0.7961581450963063,0.5993939393939394,0.851827249388253,0.6554753994843082,30629,7842,2734,7912
M3 BIC,train,14,0.8649691750514716,0.004428267251472685,0.7894408870170613,0.5262245061827525,0.7717017568649616,0.7946829981209549,0.6257495321391743,0.8670239198515843,0.6955624829892756,57094,14751,4847,16384
M3 BIC,test,14,0.8649691750514716,0.004428267251472685,0.7846366838365535,0.5021581820490034,0.7430959984970881,0.7961321514907332,0.5993181818181819,0.851822441816454,0.6554549131957836,30628,7843,2735,7911
M4 Reducido,train,8,0.8499686160960472,0.0033667326226798034,0.773357256435601,0.502113376429637,0.7609627431585888,0.7770199735541792,0.6050143239650233,0.8514708494449335,0.6718252731204785,55825,16020,5075,16156
M4 Reducido,test,8,0.8499686160960472,0.0033667326226798034,0.7704867968320541,0.4804416994198016,0.7233702799173398,0.7835252527878142,0.577394564198688,0.8322558882902558,0.6250772869942598,30143,8328,2945,7701
